Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Bradley Beal\bealbr01,SG,27,WAS,46,46,35.4,10.9,22.7,.480,2.2,6.5,.331,8.7,16.2,.540,.528,7.0,7.8,.898,1.2,3.6,4.8,4.8,1.1,0.3,3.3,2.4,31.0
2,Stephen Curry\curryst01,PG,32,GSW,48,48,33.9,10.1,20.6,.489,5.0,11.8,.422,5.1,8.8,.580,.610,5.5,6.0,.927,0.5,5.0,5.5,5.9,1.3,0.1,3.2,1.8,30.7
3,Damian Lillard\lillada01,PG,30,POR,52,52,35.9,8.8,20.1,.440,4.1,10.8,.379,4.8,9.3,.510,.541,6.9,7.5,.925,0.5,3.7,4.2,7.7,0.9,0.3,3.2,1.6,28.7
4,Giannis Antetokounmpo\antetgi01,PF,26,MIL,46,46,33.8,10.3,18.3,.565,1.1,3.7,.304,9.2,14.6,.631,.596,6.7,9.8,.684,1.7,9.5,11.2,6.1,1.2,1.3,3.7,2.8,28.5
5,Luka Dončić\doncilu01,PG,21,DAL,50,50,35.1,10.1,20.8,.485,3.0,8.2,.361,7.1,12.6,.566,.556,5.3,7.2,.733,0.8,7.2,7.9,8.8,1.0,0.6,4.3,2.2,28.4
6,Kyrie Irving\irvinky01,PG,28,BRK,40,40,35.1,10.6,20.5,.515,2.7,6.9,.395,7.8,13.6,.576,.582,3.7,4.0,.913,1.1,3.7,4.8,6.1,1.3,0.6,2.3,2.7,27.5
7,Zach LaVine\lavinza01,SG,25,CHI,53,53,35.2,9.8,19.4,.506,3.4,8.2,.416,6.4,11.2,.572,.594,4.4,5.2,.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5
8,Zion Williamson\willizi01,PF,20,NOP,51,51,32.9,10.3,16.7,.615,0.2,0.5,.333,10.1,16.1,.625,.621,6.0,8.6,.699,2.5,4.6,7.1,3.6,0.9,0.7,2.6,2.3,26.7
9,Donovan Mitchell\mitchdo01,PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4
10,Nikola Jokić\jokicni01,C,25,DEN,56,56,35.2,10.2,18.1,.567,1.4,3.3,.422,8.8,14.8,.599,.605,4.2,4.9,.855,2.9,8.1,11.0,8.8,1.5,0.6,3.1,2.7,26.1
11,Kawhi Leonard\leonaka01,SF,29,LAC,45,45,34.6,9.4,18.3,.515,2.0,5.0,.395,7.5,13.4,.560,.568,5.1,5.8,.878,1.2,5.4,6.6,5.0,1.7,0.4,2.0,1.7,26.0
12,Devin Booker\bookede01,SG,24,PHO,51,51,33.7,9.4,19.2,.488,2.1,5.9,.350,7.3,13.3,.550,.542,4.8,5.6,.864,0.4,3.8,4.2,4.5,0.8,0.3,3.3,2.8,25.7
13,Jayson Tatum\tatumja01,SF,22,BOS,50,50,35.5,9.3,20.3,.458,2.9,7.5,.384,6.4,12.8,.501,.529,4.1,4.7,.873,0.7,6.4,7.1,4.2,1.2,0.4,2.5,1.8,25.6
14,LeBron James\jamesle01,PG,36,LAL,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,.578,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4
15,De'Aaron Fox\foxde01,PG,23,SAC,55,55,35.1,9.2,19.1,.479,1.8,5.6,.325,7.3,13.5,.543,.527,5.1,7.1,.710,0.6,2.9,3.5,7.1,1.5,0.5,3.1,2.9,25.2
16,James Harden\hardeja01,PG-SG,31,TOT,42,42,37.1,8.0,17.2,.463,2.8,7.8,.358,5.2,9.4,.549,.544,6.5,7.5,.870,0.8,7.2,8.0,10.9,1.2,0.7,4.1,2.3,25.2
17,Trae Young\youngtr01,PG,22,ATL,51,51,34.3,7.7,17.8,.431,2.3,6.4,.358,5.4,11.4,.472,.495,7.6,8.7,.870,0.6,3.3,3.9,9.5,0.8,0.2,4.3,1.9,25.2
18,Jaylen Brown\brownja02,SG,24,BOS,52,52,34.1,9.3,18.8,.493,2.7,6.8,.400,6.6,12.0,.546,.566,3.3,4.3,.754,1.2,4.6,5.8,3.4,1.2,0.6,2.7,2.9,24.6
19,Brandon Ingram\ingrabr01,SF,23,NOP,51,51,34.6,8.5,18.2,.469,2.4,6.3,.384,6.1,11.9,.514,.535,4.7,5.3,.886,0.6,4.4,5.0,4.8,0.7,0.7,2.5,2.0,24.3
20,Collin Sexton\sextoco01,SG,22,CLE,46,46,35.8,8.8,18.4,.481,1.6,4.4,.363,7.3,14.0,.518,.524,5.0,6.1,.817,0.8,2.0,2.8,4.1,1.1,0.1,2.6,2.7,24.2
21,Nikola Vučević\vucevni01,C,30,TOT,56,56,33.6,9.7,20.1,.484,2.6,6.3,.415,7.1,13.8,.515,.548,2.1,2.5,.833,2.0,9.4,11.4,3.7,1.0,0.7,1.7,1.9,24.1
22,Paul George\georgpa01,SF,30,LAC,43,43,33.7,8.4,17.5,.479,3.3,7.5,.437,5.1,10.0,.510,.572,3.6,4.0,.891,0.9,5.4,6.3,5.5,1.2,0.5,3.2,2.4,23.6
23,Julius Randle\randlju01,PF,26,NYK,56,56,37.2,8.4,18.1,.463,2.1,5.1,.410,6.3,13.0,.484,.521,4.7,5.9,.799,1.3,9.3,10.6,6.0,0.9,0.3,3.5,3.2,23.6
24,Jerami Grant\grantje01,SF,26,DET,49,49,34.4,7.5,17.4,.430,2.2,6.2,.357,5.3,11.2,.471,.494,5.4,6.3,.858,0.7,4.1,4.8,2.9,0.7,1.1,2.0,2.3,22.6
25,Russell Westbrook\westbru01,PG,32,WAS,48,48,35.5,8.4,19.0,.442,1.3,4.2,.312,7.1,14.8,.479,.476,4.0,6.4,.627,1.6,9.3,10.9,10.8,1.3,0.4,5.0,2.7,22.1
26,Jimmy Butler\butleji01,SF,31,MIA,41,41,33.7,7.1,14.4,.495,0.5,2.0,.232,6.7,12.4,.537,.511,6.7,7.9,.852,1.9,5.3,7.2,7.2,2.1,0.4,2.1,1.4,21.4
27,Malcolm Brogdon\brogdma01,PG,28,IND,49,49,35.1,8.0,17.6,.456,2.7,6.7,.398,5.3,10.9,.492,.532,2.5,3.0,.855,1.1,3.9,5.0,5.9,1.0,0.2,2.0,2.0,21.2
28,DeMar DeRozan\derozde01,PF,31,SAS,47,47,34.0,7.4,14.9,.495,0.4,1.4,.281,7.0,13.5,.517,.508,6.1,6.9,.880,0.7,3.6,4.3,7.2,0.9,0.3,1.9,2.0,21.2
29,Jamal Murray\murraja01,PG,23,DEN,48,48,35.5,7.9,16.5,.477,2.7,6.6,.408,5.2,9.9,.523,.559,2.8,3.2,.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2
30,Pascal Siakam\siakapa01,PF,26,TOR,46,46,35.6,7.5,16.5,.453,1.2,4.2,.282,6.3,12.3,.512,.489,4.7,5.5,.839,1.7,5.5,7.2,4.7,1.1,0.7,2.2,3.3,20.8
31,Tobias Harris\harrito02,PF,28,PHI,49,49,33.3,7.9,15.2,.521,1.4,3.5,.407,6.5,11.7,.555,.568,3.2,3.6,.886,1.0,6.2,7.2,3.6,0.9,0.9,1.9,2.0,20.5
32,Terry Rozier\roziete01,SG,26,CHO,52,52,33.9,7.4,15.8,.465,3.3,8.2,.400,4.1,7.6,.535,.569,2.4,2.9,.828,0.6,3.6,4.2,3.7,1.3,0.4,1.9,1.8,20.4
33,Khris Middleton\middlkh01,SF,29,MIL,53,53,33.3,7.5,15.6,.481,2.2,5.1,.431,5.3,10.5,.504,.551,3.0,3.4,.890,0.8,5.3,6.1,5.5,1.1,0.2,2.8,2.4,20.2
34,Domantas Sabonis\sabondo01,PF,24,IND,52,52,35.8,7.5,14.4,.519,0.8,2.6,.296,6.7,11.8,.567,.545,4.2,5.7,.731,2.6,9.0,11.6,6.0,1.1,0.6,3.3,3.4,19.9
35,Gordon Hayward\haywago01,SF,30,CHO,44,44,34.0,7.1,15.0,.473,1.9,4.7,.415,5.1,10.3,.499,.537,3.5,4.2,.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6
36,Fred VanVleet\vanvlfr01,SG,26,TOR,45,45,36.1,6.4,16.4,.391,3.3,8.9,.366,3.1,7.4,.422,.491,3.4,3.9,.885,0.6,3.5,4.2,6.1,1.7,0.8,2.0,2.4,19.5
37,Norman Powell\powelno01,SG-SF,27,TOT,53,42,31.0,6.5,13.3,.489,2.7,6.2,.429,3.8,7.1,.541,.589,3.4,4.0,.858,0.6,2.5,3.1,1.8,1.2,0.3,1.8,2.3,19.1
38,Bam Adebayo\adebaba01,C,23,MIA,50,50,33.5,7.2,12.7,.566,0.0,0.2,.250,7.1,12.5,.570,.568,4.6,5.7,.806,2.3,6.9,9.2,5.2,1.0,1.1,2.7,2.3,19.0
39,Ja Morant\moranja01,PG,21,MEM,46,46,31.9,6.7,15.1,.447,0.9,3.5,.270,5.8,11.6,.500,.478,4.4,5.9,.739,0.9,2.6,3.5,7.3,0.8,0.2,3.1,1.4,18.8
40,John Collins\collijo01,PF,23,ATL,47,47,30.3,7.1,13.0,.545,1.3,3.4,.380,5.8,9.6,.603,.594,2.7,3.3,.838,2.1,5.7,7.8,1.4,0.5,1.0,1.2,3.2,18.2
41,Andrew Wiggins\wiggian01,PF,25,GSW,56,56,32.6,6.9,14.4,.475,2.0,5.2,.387,4.8,9.2,.525,.545,2.4,3.4,.695,1.0,3.8,4.8,2.4,0.9,0.9,1.8,2.2,18.1
42,Anthony Edwards\edwaran01,SG,19,MIN,57,40,31.3,6.6,16.5,.398,2.2,6.9,.316,4.4,9.7,.456,.463,2.7,3.4,.786,0.8,3.5,4.4,2.7,1.1,0.4,2.1,1.6,18.0
43,Michael Porter Jr.\portemi01,SF,22,DEN,46,39,30.6,6.8,12.6,.538,2.4,5.7,.427,4.3,6.9,.629,.634,1.7,2.2,.768,1.8,6.0,7.7,1.0,0.6,0.9,1.1,2.0,17.6
44,RJ Barrett\barrerj01,SG,20,NYK,57,57,34.1,6.5,14.5,.448,1.4,3.7,.381,5.1,10.8,.471,.496,2.9,4.0,.734,1.1,4.7,5.7,3.0,0.8,0.3,1.9,2.6,17.3
45,Jordan Clarkson\clarkjo01,SG,28,UTA,52,0,25.4,6.3,14.8,.422,3.0,8.6,.347,3.3,6.2,.525,.523,1.7,1.8,.946,0.8,3.2,3.9,2.2,0.9,0.2,1.7,1.5,17.2
46,Jrue Holiday\holidjr01,PG,30,MIL,43,40,31.6,6.8,13.5,.506,1.9,4.7,.401,5.0,8.8,.562,.576,1.6,2.0,.824,1.3,3.3,4.5,5.4,1.7,0.5,2.1,1.7,17.2
47,Darius Garland\garlada01,PG,21,CLE,45,42,33.4,6.5,14.6,.447,1.9,4.7,.399,4.6,9.9,.470,.511,2.0,2.4,.849,0.5,2.0,2.4,5.9,1.2,0.1,3.0,2.2,17.0
48,Jonas Valančiūnas\valanjo01,C,28,MEM,49,48,28.1,7.0,12.2,.578,0.3,0.9,.348,6.7,11.2,.597,.591,2.6,3.4,.770,4.2,8.4,12.7,1.8,0.5,0.7,1.7,2.9,17.0
49,Dillon Brooks\brookdi01,SF,25,MEM,51,51,29.5,6.3,15.2,.414,1.9,5.5,.348,4.4,9.7,.452,.477,2.2,2.6,.830,0.8,2.1,2.9,2.4,1.2,0.4,1.8,3.5,16.7
50,Buddy Hield\hieldbu01,SG,28,SAC,55,55,34.5,5.7,14.2,.401,4.0,10.5,.385,1.7,3.7,.447,.543,1.3,1.5,.833,0.4,4.1,4.5,3.1,0.8,0.4,1.8,2.6,16.7
51,Mike Conley\conlemi01,PG,33,UTA,45,45,29.9,5.6,12.6,.449,2.8,6.6,.415,2.9,5.9,.487,.558,2.3,2.7,.854,0.7,2.6,3.4,5.7,1.3,0.2,1.9,2.0,16.4
52,Tim Hardaway Jr.\hardati02,SG,28,DAL,54,20,28.4,5.6,12.7,.443,2.9,7.3,.389,2.8,5.4,.517,.555,1.8,2.3,.797,0.3,3.1,3.4,1.7,0.5,0.1,0.9,1.5,16.0
53,LaMelo Ball\ballla01,PG,19,CHO,41,21,28.6,5.8,12.8,.451,2.0,5.3,.375,3.8,7.6,.503,.528,2.4,3.0,.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9
54,Chris Paul\paulch01,PG,35,PHO,54,54,31.6,6.0,12.3,.486,1.3,3.6,.364,4.7,8.7,.537,.540,2.5,2.7,.931,0.4,4.2,4.6,8.8,1.5,0.2,2.2,2.4,15.8
55,Dejounte Murray\murrade01,PG,24,SAS,52,52,31.7,6.6,14.5,.452,1.0,3.1,.325,5.6,11.4,.487,.487,1.6,2.0,.808,0.7,6.2,6.9,5.3,1.6,0.1,1.7,2.1,15.7
56,Harrison Barnes\barneha02,PF,28,SAC,53,53,36.3,5.3,10.9,.489,1.5,4.2,.365,3.8,6.7,.566,.559,3.4,4.1,.826,1.2,5.5,6.7,3.5,0.8,0.2,1.6,1.3,15.6
57,Terrence Ross\rosste01,SG,29,ORL,46,2,29.3,5.5,13.4,.412,1.9,5.7,.337,3.6,7.7,.469,.485,2.6,3.0,.870,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6
58,Gary Trent Jr.\trentga02,SG,22,TOT,52,34,31.4,5.6,13.3,.421,2.9,7.4,.392,2.7,5.9,.458,.530,1.4,1.8,.780,0.4,2.1,2.5,1.5,0.9,0.2,0.8,1.6,15.5
59,Bojan Bogdanović\bogdabo02,SF,31,UTA,56,56,30.4,5.1,12.0,.422,2.4,6.2,.383,2.7,5.8,.464,.522,2.9,3.3,.870,0.6,3.4,4.0,1.8,0.5,0.1,1.4,1.6,15.4
60,Clint Capela\capelca01,C,26,ATL,49,49,30.2,6.6,11.0,.602,0.0,0.0,,6.6,11.0,.602,.602,2.1,3.6,.591,4.7,9.6,14.3,0.8,0.7,2.2,1.2,2.3,15.4
61,Kelly Oubre Jr.\oubreke01,SF,25,GSW,50,50,30.8,5.8,13.2,.439,1.6,5.2,.317,4.1,8.0,.519,.502,2.1,3.0,.698,1.4,4.6,6.0,1.4,1.1,0.8,1.2,2.3,15.3
62,Deandre Ayton\aytonde01,C,22,PHO,55,55,30.5,6.6,10.5,.626,0.1,0.4,.200,6.5,10.1,.641,.629,2.0,2.7,.760,3.3,7.5,10.8,1.4,0.5,1.1,1.7,2.9,15.2
63,Dennis Schröder\schrode01,SG,27,LAL,52,52,31.7,5.2,12.1,.431,1.1,3.3,.343,4.1,8.9,.463,.477,3.7,4.3,.844,0.5,3.0,3.4,5.4,1.2,0.2,2.8,2.6,15.2
64,Tyler Herro\herroty01,SG,21,MIA,45,14,31.2,5.6,13.1,.425,1.8,5.5,.329,3.8,7.6,.494,.494,2.0,2.4,.815,0.5,4.4,4.9,3.4,0.7,0.4,2.0,1.3,14.9
65,Ben Simmons\simmobe01,PG,24,PHI,48,48,33.3,5.7,10.4,.545,0.1,0.2,.300,5.6,10.2,.550,.548,3.4,5.5,.615,1.7,6.0,7.6,7.1,1.6,0.6,3.3,3.1,14.8
66,Rudy Gobert\goberru01,C,28,UTA,56,56,31.1,5.5,8.2,.670,0.0,0.1,.000,5.5,8.1,.675,.670,3.4,5.6,.613,3.4,10.1,13.6,1.3,0.5,2.9,1.6,2.4,14.4
67,Coby White\whiteco01,PG,20,CHI,52,37,30.6,5.3,12.8,.411,2.1,6.1,.343,3.2,6.7,.473,.493,1.8,2.0,.913,0.4,3.8,4.2,4.4,0.5,0.2,2.2,2.6,14.4
68,Joe Harris\harrijo01,SF,29,BRK,56,52,30.7,5.2,10.1,.514,3.2,6.5,.484,2.1,3.6,.569,.670,0.7,0.9,.769,0.6,3.0,3.6,1.8,0.7,0.2,0.8,2.0,14.3
69,Lonzo Ball\balllo01,PG,23,NOP,42,42,31.4,5.1,12.3,.419,3.0,8.0,.376,2.1,4.2,.503,.543,0.9,1.1,.792,0.6,3.5,4.1,5.6,1.4,0.6,2.0,2.0,14.2
70,Devonte' Graham\grahade01,PG,25,CHO,44,38,29.8,4.5,11.9,.375,3.1,8.3,.374,1.4,3.6,.377,.506,2.1,2.6,.823,0.4,2.3,2.7,5.2,1.0,0.1,1.5,1.3,14.2
71,Montrezl Harrell\harremo01,C,27,LAL,56,1,24.4,5.7,9.3,.617,0.0,0.2,.000,5.7,9.1,.629,.617,2.7,3.8,.710,2.4,4.2,6.7,1.1,0.7,0.8,1.1,1.9,14.2
72,Richaun Holmes\holmeri01,C,27,SAC,50,50,30.0,5.9,9.3,.641,0.0,0.2,.200,5.9,9.1,.651,.644,2.2,2.8,.797,2.6,6.4,8.9,1.7,0.7,1.6,1.2,3.6,14.1
73,Rui Hachimura\hachiru01,PF,22,WAS,46,46,31.9,5.3,11.3,.469,0.8,2.5,.310,4.5,8.7,.515,.504,2.3,3.0,.763,0.9,4.9,5.8,1.5,0.8,0.1,1.3,2.2,13.7
74,Luguentz Dort\dortlu01,SG,21,OKC,44,44,29.5,4.7,11.9,.398,2.1,6.1,.343,2.6,5.8,.457,.487,2.0,2.8,.726,0.7,2.9,3.6,1.6,1.0,0.4,1.5,2.5,13.6
75,Shake Milton\miltosh01,SG,24,PHI,48,2,24.0,5.0,10.9,.456,1.1,3.3,.338,3.9,7.6,.507,.507,2.5,3.0,.852,0.6,1.7,2.3,3.0,0.6,0.3,1.7,2.2,13.6
76,Chris Boucher\bouchch01,C,28,TOR,57,12,24.0,4.8,9.2,.517,1.4,3.8,.380,3.3,5.4,.614,.595,2.5,3.2,.790,1.9,4.7,6.6,1.1,0.6,1.9,0.8,2.8,13.5
77,Carmelo Anthony\anthoca01,PF,36,POR,54,3,25.1,4.8,11.5,.413,1.7,4.5,.380,3.0,7.0,.435,.488,2.1,2.4,.876,0.5,2.7,3.2,1.6,0.7,0.6,1.0,2.1,13.3
